Filename,Annotation tag,Upper left corner X,Upper left corner Y,Lower right corner X,Lower right corner Y
100.webp,Quiet Zone Violations,886,1250,1071,1325
109.webp,Font Size,38,822,1038,1485
109.webp,Font Size,123,1595,996,1957
109.webp,Font Size,563,2087,1036,2257
109.webp,Font Size,451,215,1080,302
118.webp,Low Contrast,1,896,701,1004
124.webp,Font Size,69,1687,1069,1874
127.webp,Low Contrast,423,1969,715,2030
129.webp,Font Style,243,317,917,415
131.webp,Font Size,534,1071,772,1109
131.webp,Font Size,580,997,628,1033
131.webp,Font Size,630,948,727,963
131.webp,Low Contrast,726,692,782,709
131.webp,Low Contrast,103,837,274,891
131.webp,Low Contrast,284,841,435,903
131.webp,Low Contrast,98,1052,266,1093
131.webp,Low Contrast,274,1055,439,1101
131.webp,Blur,367,132,447,149
131.webp,Low Contrast,451,129,500,155
135.webp,Font Size,610,527,664,551
141.webp,Quiet Zone Violations,330,1633,876,1794
145.webp,Blur,589,1151,987,1189
153.webp,Blur,146,560,951,612
156.webp,Blur,663,872,943,950
162.webp,Low Contrast,256,1379,592,1482
167.webp,Blur,12,719,1125,809
167.webp,Blur,10,881,1668,1077
167.webp,Blur,12,1161,1662,1344
167.webp,Blur,2,1429,1660,1689
167.webp,Blur,15,1706,1668,1831
167.webp,Blur,12,1896,1632,2116
167.webp,Blur,15,2141,330,2201
167.webp,Blur,40,499,937,554
168.webp,Blur,45,1694,272,1741
168.webp,Blur,57,441,337,506
168.webp,Blur,37,1456,425,1486
176.webp,Font Size,776,175,1152,215
176.webp,Font Size,781,219,1183,247
176.webp,Font Size,776,254,1175,302
176.webp,Font Size,1341,240,1441,320
176.webp,Font Size,1226,303,1349,375
176.webp,Font Size,1197,168,1610,181
176.webp,Font Size,1199,203,1341,223
176.webp,Font Size,1197,401,1600,414
177.webp,Font Style,460,513,563,529
180.webp,Low Contrast,92,759,248,780
183.webp,Low Contrast,1282,450,1427,514
183.webp,Low Contrast,1437,454,1563,514
184.webp,Blur,1098,241,1226,268
184.webp,Blur,1100,273,1218,299
184.webp,Blur,1098,179,1255,194
184.webp,Blur,1341,178,1413,200
184.webp,Blur,1102,302,1130,323
197.webp,Low Contrast,1410,582,1577,601
200.webp,Blur,471,724,604,743
200.webp,Blur,706,726,855,748
200.webp,Blur,447,770,663,790
200.webp,Blur,678,767,884,804
200.webp,Blur,1142,853,1259,886
200.webp,Font Size,447,535,590,559
200.webp,Font Size,670,534,823,556
200.webp,Font Size,922,532,1020,557
200.webp,Font Size,1138,533,1247,565
201.webp,Blur,919,52,1057,82
201.webp,Blur,1145,80,1358,114
201.webp,Font Style,791,8,1148,55
206.webp,Quiet Zone Violations,614,591,728,620
206.webp,Quiet Zone Violations,725,479,820,513
206.webp,Quiet Zone Violations,555,397,739,462
206.webp,Quiet Zone Violations,480,458,557,495
206.webp,Quiet Zone Violations,478,533,570,618
207.webp,Font Size,403,187,491,215
207.webp,Font Size,559,162,655,186
207.webp,Font Size,156,739,385,903
207.webp,Font Size,468,732,675,933
207.webp,Font Size,765,734,995,912
207.webp,Font Size,533,246,695,261
207.webp,Font Size,548,378,621,397
207.webp,Font Size,540,467,865,702
207.webp,Font Size,926,413,1014,438
207.webp,Font Size,924,501,995,520
207.webp,Font Size,940,557,1002,570
207.webp,Font Size,932,601,1008,611
207.webp,Font Size,937,644,1000,660
207.webp,Font Size,931,683,1001,699
210.webp,Low Contrast,1545,843,1913,899
213.webp,Low Contrast,1548,832,1919,900
225.webp,Low Contrast,1514,754,1669,776
227.webp,Font Style,1391,85,1462,121
229.webp,Font Size,1411,34,1670,76
230.webp,Low Contrast,1619,414,1814,467
236.webp,Low Contrast,26,70,180,89
242.webp,Font Style,593,167,1319,255
247.webp,Font Size,16,6,156,26
247.webp,Blur,1758,53,1889,80
247.webp,Font Size,245,694,951,746
249.webp,Blur,1603,623,1690,658
250.webp,Quiet Zone Violations,626,548,817,615
250.webp,Quiet Zone Violations,1091,562,1282,606
250.webp,Low Contrast,560,670,714,717
251.webp,Font Style,758,155,1148,190
251.webp,Low Contrast,339,309,587,343
251.webp,Low Contrast,700,304,869,340
251.webp,Low Contrast,1011,309,1215,339
251.webp,Low Contrast,1354,300,1611,344
254.webp,Low Contrast,1501,115,1643,139
256.webp,Font Style,802,120,861,154
262.webp,Low Contrast,1516,337,1747,360
262.webp,Low Contrast,157,337,937,390
264.webp,Font Size,196,94,301,121
264.webp,Font Size,1400,364,1503,415
264.webp,Font Size,1474,503,1534,536
264.webp,Font Style,1016,426,1089,481
264.webp,Font Style,1123,438,1223,4
264.webp,Font Style,1244,434,1328,483
264.webp,Font Size,329,512,792,539
264.webp,Font Size,823,510,923,541
264.webp,Font Size,1410,447,1483,488
264.webp,Font Size,1450,309,1496,347
268.webp,Low Contrast,296,649,441,683
275.webp,Quiet Zone Violations,396,482,502,515
275.webp,Low Contrast,543,468,928,505
275.webp,Low Contrast,967,465,1094,500
275.webp,Low Contrast,1237,470,1349,50
275.webp,Font Size,1266,900,1372,906
275.webp,Font Size,1464,972,1735,1016
275.webp,Font Style,1464,895,1727,939
276.webp,Low Contrast,94,340,273,369
279.webp,Font Style,1296,630,1601,664
281.webp,Low Contrast,363,195,586,247
281.webp,Low Contrast,596,203,712,238
282.webp,Low Contrast,1162,375,1507,399
282.webp,Low Contrast,402,672,523,698
284.webp,Low Contrast,1369,408,1499,450
289.webp,Font Size,796,836,1475,883
290.webp,Font Size,953,447,1249,483
291.webp,Low Contrast,1288,219,1438,245
294.webp,Font Size,954,999,1365,1029
294.webp,Font Size,517,1010,733,1029
296.webp,Font Size,1800,992,1905,1015
299.webp,Low Contrast,900,102,1554,121
301.webp,Font Size,16,396,615,416
301.webp,Low Contrast,34,1044,770,1179
303.webp,Font Size,338,797,486,952
303.webp,Font Size,783,975,923,1112
303.webp,Font Size,593,1395,766,1537
303.webp,Font Size,793,1397,911,1530
303.webp,Font Size,621,1580,713,1705
303.webp,Font Size,773,1587,911,1695
303.webp,Font Size,608,1772,713,1877
303.webp,Font Size,786,1767,896,1872
303.webp,Font Style,686,855,911,945
304.webp,Font Size,85,1079,560,1266
305.webp,Improper Reading Position,478,985,628,1247
305.webp,Improper Reading Position,876,1160,1013,1600
305.webp,Improper Reading Position,866,272,1026,495
305.webp,Improper Reading Position,746,1630,863,1920
305.webp,Improper Reading Position,163,365,408,622
309.webp,Font Size,1786,964,1860,1016
314.webp,Low Contrast,609,382,678,414
315.webp,Font Size,1415,269,1630,301
317.webp,Quiet Zone Violations,1491,482,1617,526
317.webp,Font Size,1525,571,1615,606
320.webp,Font Size,568,982,1011,1065
322.webp,Font Size,383,947,738,1020
322.webp,Font Size,106,727,206,802
322.webp,Font Size,338,662,451,710
322.webp,Font Size,656,762,763,820
322.webp,Font Size,866,632,976,687
326.webp,Font Style,406,200,968,330
328.webp,Quiet Zone Violations,843,756,1044,814
328.webp,Damage or Distortion,887,160,1013,214
332.webp,Font Size,72,572,128,638
332.webp,Quiet Zone Violations,137,583,1014,631
332.webp,Low Contrast,1029,605,1220,660
333.webp,Font Size,571,1169,753,1256
333.webp,Font Size,774,1343,1025,1412
333.webp,Font Size,730,1435,961,1492
333.webp,Font Size,530,1615,1015,1702
333.webp,Font Size,389,1730,656,1797
333.webp,Font Size,517,1456,658,1566
333.webp,Font Size,897,1169,1043,1251
333.webp,Font Size,866,1253,1012,1320
333.webp,Low Contrast,105,2156,905,2312
342.webp,Low Contrast,539,639,706,677
342.webp,Font Size,634,714,799,737
342.webp,Font Size,637,825,805,855
343.webp,Font Size,387,476,1362,529
343.webp,Font Size,1115,1276,1617,1339
346.webp,Low Contrast,345,774,967,834
355.webp,Font Size,111,1152,663,1197
356.webp,Improper Reading Position,113,1050,273,1295
356.webp,Quiet Zone Violations,768,1280,1078,1337
357.webp,Font Size,402,921,621,981
358.webp,Font Size,263,320,393,387
358.webp,Font Size,708,332,843,387
358.webp,Low Contrast,248,410,421,465
358.webp,Quiet Zone Violations,156,1645,931,2017
359.webp,Font Size,76,267,511,505
359.webp,Font Size,561,275,973,505
360.webp,Blur,769,403,1023,590
360.webp,Font Size,364,78,470,210
360.webp,Font Size,279,80,369,307
361.webp,Font Size,761,120,1146,202
361.webp,Low Contrast,552,246,793,280
361.webp,Font Size,552,285,927,376
361.webp,Font Size,971,281,1350,375
362.webp,Font Size,1151,260,1362,368
362.webp,Font Size,1158,480,1349,636
362.webp,Font Size,539,203,868,715
364.webp,Font Size,193,430,596,507
364.webp,Font Size,646,537,1053,630
364.webp,Font Size,1,535,488,607
365.webp,Font Size,66,242,253,325
365.webp,Font Size,141,332,376,355
365.webp,Font Size,61,387,741,447
365.webp,Font Size,36,690,743,800
365.webp,Font Size,28,810,656,825
365.webp,Font Size,33,865,746,1747
365.webp,Font Size,263,1787,546,1845
365.webp,Font Size,68,2050,1048,214
365.webp,Font Size,773,385,913,450
365.webp,Font Size,773,535,886,650
366.webp,Font Size,553,345,913,612
366.webp,Font Size,126,1102,556,1132
366.webp,Font Size,218,1397,526,1632
366.webp,Font Size,563,1407,843,1607
366.webp,Font Size,133,1910,1031,2045
366.webp,Font Size,133,2045,238,2227
366.webp,Font Size,238,2175,923,2225
367.webp,Font Size,86,1020,518,1077
367.webp,Font Size,133,1227,503,1600
367.webp,Font Size,541,1227,971,1600
367.webp,Font Size,243,1630,398,1697
367.webp,Font Size,653,1625,846,1675
367.webp,Font Size,3,2025,1068,2132
368.webp,Font Size,71,402,1028,457
368.webp,Font Size,43,472,1011,990
368.webp,Font Size,166,1070,341,1190
368.webp,Font Size,173,1190,356,1307
368.webp,Font Size,498,1067,706,1185
368.webp,Font Size,496,1180,638,1297
368.webp,Font Size,838,1072,966,1175
368.webp,Font Size,828,1197,1013,1315
368.webp,Font Size,148,1335,381,1395
368.webp,Font Size,843,1330,951,1370
369.webp,Quiet Zone Violations,73,435,963,732
370.webp,Quiet Zone Violations,71,517,976,650
371.webp,Font Size,6,182,1068,317
371.webp,Font Style,28,672,793,797
371.webp,Font Style,31,1362,616,1450
371.webp,Font Style,21,985,628,108
371.webp,Font Style,33,835,616,935
371.webp,Font Size,26,332,181,387
371.webp,Font Size,26,475,271,515
371.webp,Font Size,18,630,198,660
371.webp,Font Size,28,790,128,812
371.webp,Font Size,21,955,153,975
371.webp,Font Size,23,1092,188,1125
371.webp,Font Size,18,1192,256,1217
371.webp,Font Size,21,1335,148,1355
371.webp,Font Size,11,1472,121,1512
371.webp,Font Size,13,1612,308,1645
371.webp,Font Size,21,2205,916,2250
371.webp,Font Size,986,2197,1076,2265
371.webp,Font Size,328,1772,871,1820
371.webp,Font Size,418,1827,668,1880
371.webp,Font Size,458,1890,658,1927
371.webp,Font Size,458,2120,636,2187
371.webp,Font Size,893,317,1078,415
371.webp,Font Size,888,475,1063,532
371.webp,Font Size,908,622,1063,687
371.webp,Font Size,906,772,1063,855
371.webp,Font Size,901,935,1078,1015
371.webp,Font Size,838,1057,1058,1132
371.webp,Font Size,881,1187,1080,1246
371.webp,Font Size,886,1315,1066,1382
371.webp,Font Size,913,1450,1048,1530
371.webp,Font Size,833,1582,1080,1671
372.webp,Font Size,118,425,823,582
372.webp,Font Size,111,652,708,872
372.webp,Font Size,93,940,811,1385
372.webp,Font Size,98,1432,721,1625
372.webp,Font Size,71,1750,261,1860
372.webp,Font Style,278,1732,983,1950
372.webp,Font Style,111,2027,368,2112
372.webp,Font Style,528,2040,741,2120
373.webp,Font Style,93,265,398,330
373.webp,Font Size,98,645,1031,855
373.webp,Font Size,98,1240,993,1392
373.webp,Font Size,746,1410,993,1460
373.webp,Font Style,91,1455,276,1507
373.webp,Font Size,103,1540,396,1882
373.webp,Font Size,108,2017,386,2117
373.webp,Font Style,111,1932,323,1987
375.webp,Font Size,146,423,302,479
375.webp,Quiet Zone Violations,807,597,1112,941
375.webp,Font Size,420,471,728,528
375.webp,Font Size,428,592,730,661
375.webp,Font Size,533,935,753,1000
376.webp,Font Size,33,1420,1112,1961
376.webp,Font Size,89,1974,1125,2102
378.webp,Font Size,64,292,1069,466
378.webp,Font Size,99,523,717,869
378.webp,Font Size,53,882,1107,1138
378.webp,Font Size,48,1607,1071,2156
378.webp,Low Contrast,864,2333,1093,2436
382.webp,Font Size,41,755,1080,1939
382.webp,Font Size,56,1965,433,2022
384.webp,Font Size,63,467,356,960
384.webp,Font Size,61,975,326,1267
384.webp,Font Size,371,437,1080,524
384.webp,Font Size,363,895,601,1285
384.webp,Font Size,596,895,798,1270
384.webp,Font Size,803,890,1053,1275
384.webp,Font Size,351,1297,578,1745
384.webp,Font Size,583,1285,791,1752
384.webp,Font Size,806,1295,1048,17
384.webp,Font Size,26,1497,311,1592
384.webp,Font Size,36,1770,323,1897
384.webp,Font Size,33,2072,351,2170
384.webp,Font Size,381,1780,938,2182
384.webp,Font Size,703,517,878,587
384.webp,Font Size,578,617,783,770
387.webp,Font Size,3,447,573,920
388.webp,Font Style,33,1350,998,1692
389.webp,Blur,78,210,157,231
393.webp,Blur,827,624,1006,648
393.webp,Blur,813,763,1117,796
393.webp,Blur,839,881,1002,906
393.webp,Blur,807,954,1028,995
393.webp,Blur,605,542,738,569
393.webp,Blur,852,508,932,532
393.webp,Blur,1456,536,1577,564
393.webp,Blur,1389,880,1519,915
396.webp,Font Style,662,82,2444,120
398.webp,Font Size,1,4,2041,191
398.webp,Font Size,8,191,301,276
398.webp,Font Size,1163,189,2588,606
398.webp,Font Size,2981,149,3840,258
398.webp,Font Size,1163,634,2213,1149
398.webp,Font Size,18,1446,366,1669
398.webp,Font Size,651,1499,893,1571
398.webp,Font Size,1231,1936,1798,2021
398.webp,Font Size,1896,1941,2471,1999
398.webp,Font Size,2541,1941,3143,2019
401.webp,Font Size,219,705,361,733
401.webp,Font Style,1044,333,1125,379
402.webp,Font Style,394,3,802,71
402.webp,Damage or Distortion,1219,859,1639,886
404.webp,Quiet Zone Violations,283,385,1406,427
404.webp,Low Contrast,404,441,637,478
406.webp,Font Style,1222,736,1413,813
407.webp,Quiet Zone Violations,10,29,1630,297
408.webp,Font Style,646,20,895,72
412.webp,Quiet Zone Violations,265,353,1381,383
414.webp,Quiet Zone Violations,1374,582,1634,634
414.webp,Blur,1427,252,1591,314
415.webp,Quiet Zone Violations,24,413,1034,464
415.webp,Quiet Zone Violations,5,599,563,685
416.webp,Font Style,96,69,367,100
416.webp,Damage or Distortion,1,879,206,909
419.webp,Quiet Zone Violations,399,596,893,774
421.webp,Font Style,1278,211,1644,426
423.webp,Quiet Zone Violations,140,281,1512,352
423.webp,Font Size,571,884,676,937
423.webp,Damage or Distortion,1179,59,1436,117
427.webp,Font Size,539,102,1023,290
427.webp,Font Size,627,310,1027,446
427.webp,Font Size,549,1412,1005,16
427.webp,Font Size,123,846,679,924
427.webp,Font Size,121,960,751,1036
427.webp,Font Size,123,1068,519,1144
427.webp,Font Size,79,1170,1009,1284
427.webp,Font Size,131,1658,503,1690
427.webp,Font Size,111,1704,967,1786
428.webp,Font Size,13,666,409,869
429.webp,Blur,1084,291,1777,482
429.webp,Quiet Zone Violations,1023,8,1772,42
429.webp,Quiet Zone Violations,785,83,1773,160
431.webp,Low Contrast,11,811,262,839
433.webp,Quiet Zone Violations,323,426,1344,586
434.webp,Quiet Zone Violations,403,372,1444,460
435.webp,Font Style,1014,65,1562,232
435.webp,Font Size,44,160,779,480
438.webp,Low Contrast,1,326,725,569
439.webp,Quiet Zone Violations,401,157,1529,205
440.webp,Font Style,44,51,482,243
440.webp,Quiet Zone Violations,625,649,1238,706
444.webp,Blur,351,32,452,97
445.webp,Font Size,1704,70,1861,198
445.webp,Blur,500,72,668,193
445.webp,Blur,498,356,703,625
446.webp,Quiet Zone Violations,387,340,1477,564
449.webp,Low Contrast,11,384,646,453
450.webp,Blur,1235,829,1507,892
456.webp,Font Style,48,128,1723,272
456.webp,Font Style,381,474,1410,722
458.webp,Font Style,223,312,1486,367
462.webp,Font Size,2,658,414,875
465.webp,Low Contrast,13,798,211,845
467.webp,Quiet Zone Violations,295,439,1288,602
468.webp,Quiet Zone Violations,381,365,1440,469
469.webp,Font Style,974,80,1499,219
472.webp,Low Contrast,1,310,708,574
473.webp,Quiet Zone Violations,440,171,1498,213
474.webp,Quiet Zone Violations,634,650,1153,690
477.webp,Quiet Zone Violations,49,163,774,305
481.webp,Low Contrast,10,385,657,454
488.webp,Font Style,56,121,1728,285
490.webp,Font Style,220,323,1482,349
494.webp,Low Contrast,630,377,982,470
494.webp,Font Style,171,162,416,228
495.webp,Font Style,211,190,569,269
495.webp,Quiet Zone Violations,403,757,1346,839
497.webp,Font Style,11,17,342,117
499.webp,Quiet Zone Violations,642,531,1316,810
501.webp,Font Style,527,8,1397,241
502.webp,Font Style,83,13,423,120
502.webp,Low Contrast,913,488,1288,593
503.webp,Font Style,498,568,1134,792
504.webp,Font Style,66,13,415,120
507.webp,Font Style,1085,86,1716,264
512.webp,Font Style,130,45,424,176
512.webp,Font Style,974,50,1103,152
514.webp,Quiet Zone Violations,8,42,1522,159
518.webp,Font Style,41,30,865,169
521.webp,Blur,438,129,1166,168
529.webp,Quiet Zone Violations,152,47,461,130
530.webp,Font Style,7,755,546,850
532.webp,Quiet Zone Violations,444,600,1648,689
532.webp,Quiet Zone Violations,259,430,1581,567
533.webp,Font Size,459,764,748,895
533.webp,Font Size,1159,734,1516,815
533.webp,Font Size,408,471,605,560
533.webp,Font Size,439,581,754,610
534.webp,Font Size,339,648,652,799
534.webp,Font Size,1046,644,1432,717
535.webp,Quiet Zone Violations,342,142,432,182
535.webp,Quiet Zone Violations,1061,131,1192,160
535.webp,Quiet Zone Violations,1255,155,1334,179
536.webp,Blur,455,552,765,588
536.webp,Low Contrast,788,530,1022,573
538.webp,Font Style,925,243,1440,373
540.webp,Quiet Zone Violations,741,108,941,144
541.webp,Low Contrast,68,695,484,746
542.webp,Damage or Distortion,759,513,1099,585
544.webp,Low Contrast,881,783,1098,830
544.webp,Low Contrast,664,551,1253,610
545.webp,Low Contrast,1569,32,1809,75
545.webp,Low Contrast,662,69,1765,135
545.webp,Damage or Distortion,19,13,468,47
545.webp,Low Contrast,136,100,453,151
548.webp,Quiet Zone Violations,476,659,1434,743
549.webp,Blur,1118,327,1263,382
549.webp,Blur,1063,428,1215,474
549.webp,Improper Reading Position,975,434,1033,547
549.webp,Blur,1288,496,1439,535
549.webp,Blur,1462,713,1627,753
549.webp,Blur,1140,736,1270,780
549.webp,Blur,1484,613,1595,649
551.webp,Quiet Zone Violations,981,108,1439,169
555.webp,Quiet Zone Violations,853,154,1090,170
556.webp,Quiet Zone Violations,615,482,1430,567
556.webp,Quiet Zone Violations,867,683,1182,736
560.webp,Quiet Zone Violations,1124,43,1778,137
561.webp,Quiet Zone Violations,1138,97,1303,128
566.webp,Quiet Zone Violations,726,804,1570,908
567.webp,Quiet Zone Violations,257,287,702,316
570.webp,Quiet Zone Violations,748,339,1180,381
572.webp,Quiet Zone Violations,531,376,1372,499
575.webp,Quiet Zone Violations,1476,487,1697,527
575.webp,Quiet Zone Violations,1505,619,1660,673
577.webp,Quiet Zone Violations,1070,364,1772,644
578.webp,Quiet Zone Violations,85,461,1730,822
584.webp,Quiet Zone Violations,110,273,934,612
589.webp,Low Contrast,1114,296,1404,393
589.webp,Quiet Zone Violations,378,550,931,620
591.webp,Low Contrast,2471,696,3449,759
591.webp,Low Contrast,2625,1328,3388,1440
